Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2019-09-28,Augsburg,Leverkusen,0,3,A,0,1,8,11,1,5,1,3,16,9,Bundesliga,0.27153,0.978659,1,6,25.65217391304348,11.0,4.76,4.54,1.63,2019/2020,15.0,4.0
2019-09-28,Hoffenheim,M'gladbach,0,3,A,0,1,17,11,4,5,2,5,10,11,Bundesliga,1.30868,2.83647,5,6,13.238095238095235,10.384615384615383,2.45,3.6,2.81,2019/2020,9.0,5.0
2019-09-28,Mainz,Wolfsburg,0,1,A,0,1,15,4,5,3,10,1,9,15,Bundesliga,1.27755,0.994636,5,7,7.607142857142857,9.461538461538462,2.9,3.57,2.39,2019/2020,12.0,6.0
2019-09-28,Paderborn,Bayern Munich,2,3,A,0,1,10,18,5,6,11,5,7,6,Bundesliga,0.281111,3.47305,2,17,16.8,9.857142857142858,15.68,9.54,1.14,2019/2020,-2.0,1.0
2019-09-28,RB Leipzig,Schalke 04,1,3,A,0,2,17,13,6,8,8,4,13,11,Bundesliga,1.2781,2.64689,13,10,6.36,9.606060606060606,1.57,4.41,5.64,2019/2020,3.0,14.0
2019-09-28,Dortmund,Werder Bremen,2,2,D,2,1,19,11,7,5,9,2,8,10,Bundesliga,1.76252,0.98217,8,3,11.666666666666666,22.41176470588235,1.26,6.38,10.48,2019/2020,2.0,8.0
2019-09-29,Fortuna Dusseldorf,Freiburg,1,2,A,1,1,17,9,7,3,5,1,9,9,Bundesliga,2.01843,1.67484,3,2,20.23076923076923,12.16,2.44,3.57,2.8,2019/2020,10.0,13.0
2019-09-29,FC Koln,Hertha,0,4,A,0,1,8,10,3,6,8,4,11,13,Bundesliga,0.533432,2.20336,8,4,10.0,18.875,2.15,3.65,3.3,2019/2020,-1.0,11.0
2019-10-04,Hertha,Fortuna Dusseldorf,3,1,H,2,1,16,9,3,3,9,2,17,18,Bundesliga,2.0219,1.1795,6,2,11.181818181818182,12.608695652173912,1.67,4.09,4.92,2019/2020,11.0,10.0
2019-10-05,Bayern Munich,Hoffenheim,1,2,A,0,0,20,8,4,5,9,3,8,12,Bundesliga,1.77327,0.723738,11,3,8.206896551724139,21.473684210526315,1.1,10.08,25.28,2019/2020,1.0,9.0
2019-10-05,Freiburg,Dortmund,2,2,D,0,1,6,8,1,4,3,11,10,8,Bundesliga,0.467957,0.774276,2,4,20.08695652173913,12.333333333333334,5.42,4.27,1.6,2019/2020,13.0,2.0
2019-10-05,Leverkusen,RB Leipzig,1,1,D,0,0,11,11,8,5,4,0,11,12,Bundesliga,1.6617,2.45811,9,3,7.814814814814815,16.9,2.3,3.7,2.94,2019/2020,4.0,3.0
2019-10-05,Paderborn,Mainz,1,2,A,1,2,16,18,7,7,7,10,8,18,Bundesliga,1.49293,2.63853,3,7,12.727272727272728,11.257142857142858,2.5,3.73,2.7,2019/2020,-2.0,12.0
2019-10-05,Schalke 04,FC Koln,1,1,D,0,0,15,9,3,5,6,4,15,15,Bundesliga,2.04637,1.04818,12,2,4.594594594594595,10.130434782608695,1.63,4.27,5.13,2019/2020,14.0,-1.0
2019-10-06,M'gladbach,Augsburg,5,1,H,4,0,13,13,9,3,2,7,9,9,Bundesliga,3.59033,1.35488,11,3,8.038461538461538,17.17391304347826,1.52,4.52,5.91,2019/2020,5.0,15.0
2019-10-06,Wolfsburg,Union Berlin,1,0,H,0,0,13,14,4,3,5,4,17,15,Bundesliga,1.80334,0.511105,6,2,9.15,7.678571428571429,1.66,3.95,5.14,2019/2020,6.0,-3.0
2019-10-06,Ein Frankfurt,Werder Bremen,2,2,D,0,1,24,11,7,5,10,1,12,8,Bundesliga,2.95637,1.75811,8,2,6.782608695652174,14.6875,2.13,3.66,3.25,2019/2020,7.0,8.0
2019-10-18,Ein Frankfurt,Leverkusen,3,0,H,2,0,10,19,5,10,4,1,11,12,Bundesliga,2.73688,1.58917,9,7,16.608695652173914,5.260869565217392,2.83,3.86,2.31,2019/2020,7.0,4.0
2019-10-19,Augsburg,Bayern Munich,2,2,D,1,1,9,24,7,9,3,7,10,6,Bundesliga,2.14428,3.06071,3,20,33.53846153846154,6.294117647058823,15.31,8.23,1.16,2019/2020,15.0,1.0
2019-10-19,Fortuna Dusseldorf,Mainz,1,0,H,0,0,20,7,4,1,8,1,10,17,Bundesliga,2.01829,0.236283,6,0,11.714285714285714,14.68421052631579,2.59,3.55,2.64,2019/2020,10.0,12.0
2019-10-19,RB Leipzig,Wolfsburg,1,1,D,0,0,13,14,5,6,3,3,10,9,Bundesliga,1.35769,1.69441,6,6,7.068965517241379,10.115384615384617,1.54,4.44,5.91,2019/2020,3.0,6.0
2019-10-19,Union Berlin,Freiburg,2,0,H,1,0,18,12,5,4,3,4,21,13,Bundesliga,1.47678,0.565578,8,6,11.93103448275862,11.176470588235292,2.6,3.48,2.7,2019/2020,-3.0,13.0
2019-10-19,Werder Bremen,Hertha,1,1,D,1,0,15,11,5,2,7,5,8,11,Bundesliga,0.967641,0.353813,10,2,15.105263157894736,24.23076923076923,2.13,3.73,3.24,2019/2020,8.0,11.0
