Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2014-10-26,M'gladbach,Bayern Munich,0,0,0,0,D,11,20,5,5,4,10,8,11,Bundesliga,0.648384,1.2047,7,5,26.857142857142858,6.3,7.96,4.74,1.42,2014/2015,6,1
2014-10-26,Wolfsburg,Mainz,3,0,1,0,H,24,16,12,4,10,3,16,15,Bundesliga,4.06466,1.6222,8,4,6.735294117647059,6.024390243902439,1.68,3.9,5.21,2014/2015,5,7
2014-10-31,Schalke 04,Augsburg,1,0,1,0,H,13,20,7,5,4,2,10,16,Bundesliga,1.71186,0.688487,4,2,13.047619047619047,4.7560975609756095,1.94,3.62,3.88,2014/2015,3,8
2014-11-01,Bayern Munich,Dortmund,2,1,0,1,H,25,10,14,4,9,2,13,5,Bundesliga,2.64367,0.942884,11,3,6.193548387096774,13.4,1.48,4.53,6.51,2014/2015,1,2
2014-11-01,Hamburg,Leverkusen,1,0,1,0,H,5,11,1,2,1,3,29,25,Bundesliga,1.33863,0.426376,2,2,3.75,3.4,3.56,3.58,2.05,2014/2015,16,4
2014-11-01,Hannover,Ein Frankfurt,1,0,0,0,H,14,6,3,4,10,4,13,20,Bundesliga,1.11725,0.353128,5,5,6.5,12.26923076923077,2.29,3.51,3.08,2014/2015,10,13
2014-11-01,Mainz,Werder Bremen,1,2,1,1,A,21,9,3,7,8,1,17,15,Bundesliga,1.19297,1.65943,9,2,4.241379310344827,9.071428571428571,1.81,3.86,4.33,2014/2015,7,12
2014-11-01,Stuttgart,Wolfsburg,0,4,0,2,A,13,15,4,6,4,6,13,11,Bundesliga,0.924949,2.69946,4,8,7.46875,19.9375,3.26,3.48,2.19,2014/2015,15,5
2014-11-02,FC Koln,Freiburg,0,1,0,0,A,10,8,3,3,5,2,5,12,Bundesliga,0.375065,1.46003,8,7,8.137931034482758,28.928571428571427,1.92,3.55,4.12,2014/2015,-1,14
2014-11-02,M'gladbach,Hoffenheim,3,1,2,1,H,13,15,7,3,6,3,15,12,Bundesliga,2.46276,0.646539,10,5,10.0625,8.225806451612904,2.0,3.62,3.72,2014/2015,6,9
2014-11-02,Paderborn,Hertha,3,1,1,1,H,18,10,6,4,6,1,14,27,Bundesliga,1.96835,0.925677,3,0,8.952380952380953,4.315789473684211,2.61,3.42,2.72,2014/2015,-2,11
