,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,round,league,HTxpts,Hppda_coef,Appda_coef,ATxpts,HTatt_S,HTmid_S,HTdef_S,HTOVA_S,ATatt_S,ATmid_S,ATdef_S,ATOVA_S,AVGH,AVGD,AVGA,season,HTW,HTD,HTL,ATL,ATD,ATW,HT_wins,AT_wins,HT_draws,AT_draws,HT_losses,AT_losses,l5_ravg_HTST,l5_ravg_ATST,HTCR,ATCR,l5_ravg_HTCR,l5_ravg_ATCR,HTGS,ATGS,HTGC,ATGC,HToveral,AToveral,l5_ravg_HTxG,l5_ravg_ATxG,l5_ravg_HTxpts,l5_ravg_ATxpts,l5_ravg_HTdeep,l5_ravg_ATdeep,l5_ravg_HTppda,l5_ravg_ATppda,l5_ravg_HTgs,l5_ravg_ATgs,l5_ravg_HTgc,l5_ravg_ATgc,l5_htdiff,l5_atdiff,HomeTeamPoints,AwayTeamPoints,avgHTP,avgATP,l5_ravg_HTp,l3_ravg_ATp,diff_points,diff_ATT,diff_MID,diff_DEF,diff_OVA
22,2014-09-21,Atalanta,Fiorentina,0.0,1.0,0.0,0.0,A,1,Serie_A,1.4316,19.214285714285715,5.954545454545454,1.2573,77.0,74.0,71.0,73.0,77.0,77.0,76.0,77.0,3.4,3.15,2.33,2014/2015,0,0,1,0,0,1,1.0,0.0,1.0,1.0,0.0,1.0,,,0.0,0.17,,,2,0,1,2,1,-2,,,,,,,,,,,,,,,4,1,2.0,0.5,,,3,0.0,-3.0,-5.0,-4.0
23,2014-09-21,Chievo,Parma,2.0,3.0,1.0,0.0,A,1,Serie_A,1.8036,12.285714285714286,5.071428571428571,0.8922000000000001,74.0,73.0,72.0,72.0,71.0,70.0,69.0,71.0,2.93,3.06,2.67,2014/2015,0,0,1,0,0,1,1.0,0.0,0.0,0.0,1.0,2.0,,,0.5,0.75,,,1,4,1,6,0,-2,,,,,,,,,,,,,,,3,0,1.5,0.0,,,3,3.0,3.0,3.0,1.0
24,2014-09-21,Genoa,Lazio,1.0,0.0,0.0,0.0,H,1,Serie_A,0.8254,12.63157894736842,4.175,1.936,74.0,73.0,72.0,74.0,78.0,75.0,75.0,77.0,3.03,3.12,2.54,2014/2015,1,0,0,1,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,0.25,0.0,,,1,4,2,3,-1,1,,,,,,,,,,,,,,,1,3,0.5,1.5,,,-2,-4.0,-2.0,-3.0,-3.0
25,2014-09-21,Palermo,Inter,1.0,1.0,1.0,1.0,D,1,Serie_A,1.3718,18.88888888888889,10.923076923076923,1.1735,73.0,72.0,72.0,73.0,78.0,74.0,76.0,77.0,4.08,3.36,2.0,2014/2015,0,1,0,0,1,0,0.0,1.0,1.0,1.0,1.0,0.0,,,0.5,0.33,,,2,7,3,0,-1,7,,,,,,,,,,,,,,,1,4,0.33,2.0,,,-3,-5.0,-2.0,-4.0,-4.0
26,2014-09-21,Roma,Cagliari,2.0,0.0,2.0,0.0,H,1,Serie_A,2.3291,11.695652173913045,21.476190476190474,0.4502,78.0,81.0,77.0,79.0,71.0,72.0,71.0,72.0,1.3,5.31,11.56,2014/2015,1,0,0,1,0,0,2.0,0.0,0.0,1.0,0.0,1.0,,,0.67,0.0,,,3,2,0,3,3,-1,,,,,,,,,,,,,,,6,1,3.0,0.5,,,5,7.0,9.0,6.0,7.0
27,2014-09-21,Sassuolo,Sampdoria,0.0,0.0,0.0,0.0,D,1,Serie_A,1.3075,9.25,7.111111111111111,1.2961,74.0,70.0,72.0,73.0,76.0,72.0,72.0,74.0,2.7,3.2,2.79,2014/2015,0,1,0,0,1,0,0.0,1.0,1.0,1.0,1.0,0.0,,,0.0,0.0,,,1,3,8,1,-7,2,,,,,,,,,,,,,,,1,4,0.5,2.0,,,-3,-2.0,-2.0,0.0,-1.0
28,2014-09-21,Torino,Verona,0.0,1.0,0.0,0.0,A,1,Serie_A,2.4071,15.11111111111111,13.11111111111111,0.4214,75.0,73.0,76.0,74.0,73.0,73.0,71.0,72.0,1.91,3.46,4.35,2014/2015,0,0,1,0,0,1,0.0,1.0,1.0,1.0,1.0,0.0,,,0.0,0.5,,,0,2,2,1,-2,1,,,,,,,,,,,,,,,1,4,0.5,1.33,,,-3,2.0,0.0,5.0,2.0
29,2014-09-21,Udinese,Napoli,1.0,0.0,0.0,0.0,H,1,Serie_A,1.6292,14.63157894736842,8.09375,0.9548,73.0,73.0,73.0,73.0,84.0,78.0,76.0,78.0,3.44,3.28,2.24,2014/2015,1,0,0,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,,,0.33,0.0,,,2,2,2,2,0,0,,,,,,,,,,,,,,,3,3,1.5,1.5,,,0,-11.0,-5.0,-3.0,-5.0
30,2014-09-23,Empoli,Milan,2.0,2.0,2.0,1.0,D,1,Serie_A,2.4632,9.678571428571429,4.951219512195122,0.3677,71.0,72.0,73.0,72.0,77.0,76.0,76.0,77.0,4.64,3.44,1.86,2014/2015,0,1,0,0,1,0,0.0,2.0,1.0,0.0,2.0,1.0,,,0.33,0.33,,,2,8,5,6,-3,2,,,,,,,,,,,,,,,1,6,0.33,1.0,,,-5,-6.0,-4.0,-3.0,-5.0
31,2014-09-24,Cagliari,Torino,1.0,2.0,1.0,2.0,A,1,Serie_A,0.8976999999999999,7.6571428571428575,16.533333333333335,1.8097,71.0,72.0,71.0,72.0,75.0,73.0,76.0,74.0,2.6,3.28,2.82,2014/2015,0,0,1,0,0,1,0.0,0.0,1.0,1.0,2.0,2.0,,,0.2,0.5,,,2,0,5,3,-3,-3,,,,,,,,,,,,,,,1,1,0.17,0.12,,,0,-4.0,-1.0,-5.0,-2.0
32,2014-09-24,Fiorentina,Sassuolo,0.0,0.0,0.0,0.0,D,1,Serie_A,2.228,4.8,20.125,0.4544,77.0,77.0,76.0,77.0,74.0,70.0,72.0,73.0,1.45,4.37,7.84,2014/2015,0,1,0,0,1,0,1.0,0.0,1.0,2.0,1.0,1.0,,,0.0,0.0,,,1,1,2,8,-1,-7,,,,,,,,,,,,,,,4,2,1.17,0.5,,,2,3.0,7.0,4.0,4.0
33,2014-09-24,Inter,Atalanta,2.0,0.0,1.0,0.0,H,1,Serie_A,2.5046,12.136363636363637,9.434782608695652,0.3203,78.0,74.0,76.0,77.0,77.0,74.0,71.0,73.0,1.45,4.33,8.14,2014/2015,1,0,0,1,0,0,1.0,1.0,2.0,1.0,0.0,1.0,,,0.33,0.0,,,8,2,1,2,7,0,,,,,,,,,,,,,,,5,4,1.0,0.67,,,1,1.0,0.0,5.0,4.0
34,2014-09-24,Juventus,Cesena,3.0,0.0,1.0,0.0,H,1,Serie_A,2.8905,4.275862068965517,25.928571428571427,0.0552,78.0,78.0,80.0,80.0,68.0,68.0,66.0,68.0,1.13,8.67,24.62,2014/2015,1,0,0,1,0,0,3.0,1.0,0.0,1.0,0.0,1.0,,,0.23,0.0,,,4,3,0,5,4,-2,,,,,,,,,,,,,,,9,4,2.0,0.83,,,5,10.0,10.0,14.0,12.0
35,2014-09-24,Napoli,Palermo,3.0,3.0,3.0,2.0,D,1,Serie_A,1.6906,13.0,27.692307692307693,1.027,84.0,78.0,76.0,78.0,73.0,72.0,72.0,73.0,1.44,4.39,8.11,2014/2015,0,1,0,0,1,0,1.0,0.0,0.0,2.0,2.0,1.0,,,0.38,0.5,,,2,3,3,4,-1,-1,,,,,,,,,,,,,,,3,2,0.38,0.44,,,1,11.0,6.0,4.0,5.0
36,2014-09-24,Parma,Roma,1.0,2.0,0.0,1.0,A,1,Serie_A,0.8099000000000001,14.851851851851851,5.8,1.7921,71.0,70.0,69.0,71.0,78.0,81.0,77.0,79.0,3.86,3.4,2.05,2014/2015,0,0,1,0,0,1,1.0,3.0,0.0,0.0,2.0,0.0,,,0.25,0.5,,,7,5,8,0,-1,5,,,,,,,,,,,,,,,3,9,1.0,2.0,,,-6,-7.0,-11.0,-8.0,-8.0
37,2014-09-24,Sampdoria,Chievo,2.0,1.0,1.0,0.0,H,1,Serie_A,2.5969,2.8297872340425534,5.972222222222222,0.2449,76.0,72.0,72.0,74.0,74.0,73.0,72.0,72.0,1.95,3.32,4.36,2014/2015,1,0,0,1,0,0,1.0,1.0,2.0,0.0,0.0,2.0,,,0.4,0.33,,,3,3,1,4,2,-1,,,,,,,,,,,,,,,5,3,1.0,0.5,,,2,2.0,-1.0,0.0,2.0
38,2014-09-24,Verona,Genoa,2.0,2.0,0.0,1.0,D,1,Serie_A,1.5381999999999998,8.272727272727273,9.125,1.1986,73.0,73.0,71.0,72.0,74.0,73.0,72.0,74.0,2.09,3.36,3.74,2014/2015,0,1,0,0,1,0,2.0,1.0,1.0,1.0,0.0,1.0,,,0.29,0.22,,,3,2,1,2,2,0,,,,,,,,,,,,,,,7,4,1.08,1.17,,,3,-1.0,0.0,-1.0,-2.0
39,2014-09-25,Lazio,Udinese,0.0,1.0,0.0,1.0,A,1,Serie_A,1.1964,2.806451612903226,34.375,1.488,78.0,75.0,75.0,77.0,73.0,73.0,73.0,73.0,1.86,3.46,4.64,2014/2015,0,0,1,0,0,1,1.0,2.0,0.0,0.0,2.0,1.0,,,0.0,0.5,,,4,3,4,2,0,1,,,,,,,,,,,,,,,3,6,0.5,1.12,,,-3,5.0,2.0,2.0,4.0
40,2014-09-27,Atalanta,Juventus,0.0,3.0,0.0,1.0,A,1,Serie_A,0.2381,6.71875,7.433333333333334,2.6264,77.0,74.0,71.0,73.0,78.0,78.0,80.0,80.0,7.12,3.84,1.56,2014/2015,0,0,1,0,0,1,1.0,4.0,1.0,0.0,2.0,0.0,,,0.0,0.43,,,2,7,4,0,-2,7,,,,,,,,,,,,,,,4,12,0.17,1.25,,,-8,-1.0,-4.0,-9.0,-7.0
41,2014-09-27,Roma,Verona,2.0,0.0,0.0,0.0,H,1,Serie_A,2.7913,4.620689655172414,24.642857142857142,0.1339,78.0,81.0,77.0,79.0,73.0,73.0,71.0,72.0,1.35,5.01,9.83,2014/2015,1,0,0,1,0,0,4.0,2.0,0.0,2.0,0.0,0.0,,,0.33,0.0,,,7,5,1,3,6,2,,,,,,,,,,,,,,,12,8,1.25,0.42,,,4,5.0,8.0,6.0,7.0
