,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,round,league,HTxpts,Hppda_coef,Appda_coef,ATxpts,HTatt_S,HTmid_S,HTdef_S,HTOVA_S,ATatt_S,ATmid_S,ATdef_S,ATOVA_S,AVGH,AVGD,AVGA,season,HTW,HTD,HTL,ATL,ATD,ATW,HT_wins,AT_wins,HT_draws,AT_draws,HT_losses,AT_losses,l5_ravg_HTST,l5_ravg_ATST,HTCR,ATCR,l5_ravg_HTCR,l5_ravg_ATCR,HTGS,ATGS,HTGC,ATGC,HToveral,AToveral,l5_ravg_HTxG,l5_ravg_ATxG,l5_ravg_HTxpts,l5_ravg_ATxpts,l5_ravg_HTdeep,l5_ravg_ATdeep,l5_ravg_HTppda,l5_ravg_ATppda,l5_ravg_HTgs,l5_ravg_ATgs,l5_ravg_HTgc,l5_ravg_ATgc,l5_htdiff,l5_atdiff,HomeTeamPoints,AwayTeamPoints,avgHTP,avgATP,l5_ravg_HTp,l3_ravg_ATp,diff_points,diff_ATT,diff_MID,diff_DEF,diff_OVA
24,2014-09-13,Real Madrid,Ath Madrid,1,2,1,1,A,1,La_liga,1.7548,4.857142857142857,22.615384615384617,0.9577,86,83,81,84,81,78,79,80,1.7,3.74,5.36,2014/2015,0,0,1,0,0,1,1.0,1.0,0.0,1.0,1.0,0.0,,,0.25,1.0,,,4,2,4,1,0,1,,,,,,,,,,,,,,,3,4,1.5,2.0,,,-1,5,5,2,4
25,2014-09-14,Granada,Villarreal,0,0,0,0,D,1,La_liga,1.0556,8.3,9.052631578947368,1.5026,72,74,72,73,78,76,74,76,3.66,3.21,2.18,2014/2015,0,1,0,0,1,0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,,,3,2,2,1,1,1,,,,,,,,,,,,,,,4,3,2.0,1.0,,,1,-6,-2,-2,-3
26,2014-09-14,Sevilla,Getafe,2,0,1,0,H,1,La_liga,2.7313,7.384615384615385,15.352941176470589,0.1639,79,76,77,78,72,73,69,73,1.46,4.36,7.6,2014/2015,1,0,0,1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.5,0.0,,,3,2,2,3,1,-1,,,,,,,,,,,,,,,4,3,2.0,1.5,,,1,7,3,8,5
27,2014-09-14,Valencia,Espanol,3,1,1,0,H,1,La_liga,2.0376000000000003,7.782608695652174,10.925925925925926,0.6843,81,79,77,79,76,73,72,73,1.63,3.8,5.85,2014/2015,1,0,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1.0,,,0.5,0.33,,,4,2,1,3,3,-1,,,,,,,,,,,,,,,4,1,2.0,0.5,,,3,5,6,5,6
28,2014-09-14,Vallecano,Elche,2,3,1,1,A,1,La_liga,2.1583,2.566666666666667,6.116279069767442,0.5896,75,73,75,74,72,72,72,72,1.78,3.53,5.12,2014/2015,0,0,1,0,0,1,0.0,0.0,2.0,1.0,0.0,1.0,,,0.5,0.6,,,2,1,2,4,0,-3,,,,,,,,,,,,,,,2,1,1.0,0.5,,,1,3,1,3,2
29,2014-09-15,Eibar,La Coruna,0,1,0,1,A,1,La_liga,0.9053,7.777777777777778,8.6,1.6859000000000002,72,72,72,72,71,72,72,73,2.11,3.16,3.97,2014/2015,0,0,1,0,0,1,1.0,0.0,0.0,1.0,1.0,1.0,,,0.0,1.0,,,2,3,2,4,0,-1,,,,,,,,,,,,,,,3,1,1.5,0.5,,,2,1,0,0,-1
30,2014-09-19,Elche,Eibar,0,2,0,2,A,1,La_liga,1.4474,7.85,13.565217391304348,1.2116,72,72,72,72,72,72,72,72,2.24,3.03,3.8,2014/2015,0,0,1,0,0,1,1.0,1.0,1.0,0.0,1.0,2.0,,,0.0,0.5,,,4,2,6,3,-2,-1,,,,,,,,,,,,,,,4,3,0.88,0.38,,,1,0,0,0,0
31,2014-09-20,Ath Bilbao,Granada,0,1,0,1,A,1,La_liga,1.2785000000000002,4.53125,9.96,1.2182,77,77,77,77,72,74,72,73,1.44,4.38,8.17,2014/2015,0,0,1,0,0,1,1.0,1.0,0.0,2.0,2.0,0.0,,,0.0,0.5,,,3,3,3,2,0,1,,,,,,,,,,,,,,,3,5,0.5,1.0,,,-2,5,3,5,4
32,2014-09-20,Ath Madrid,Celta,2,2,2,1,D,1,La_liga,2.419,9.23076923076923,8.38888888888889,0.3961,81,78,79,80,75,74,73,74,1.48,4.25,7.56,2014/2015,0,1,0,0,1,0,2.0,1.0,1.0,2.0,0.0,0.0,,,0.25,0.4,,,4,6,2,4,2,2,,,,,,,,,,,,,,,7,5,1.67,1.0,,,2,6,4,6,6
33,2014-09-20,Espanol,Malaga,2,2,1,0,D,1,La_liga,2.8963,8.0,5.5,0.0628,76,73,72,73,74,73,74,74,2.15,3.29,3.67,2014/2015,0,1,0,0,1,0,0.0,1.0,1.0,1.0,2.0,1.0,,,0.25,0.67,,,3,1,6,3,-3,-2,,,,,,,,,,,,,,,1,4,0.17,0.83,,,-3,2,0,-2,-1
